complaint_id,customer_id,complaint_date,category,description,status,resolution,priority
CMP00038,CUS-09602,2025-06-02,customer_service,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Sudah diganti,high
CMP00039,CUS-03575,2025-02-01,customer_service,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,,critical
CMP00040,CUS-02890,2025-01-16,account_security,"Transaksi aneh muncul di bulan April, saya tidak pernah order ini.",resolved,Menunggu respon seller,high
CMP00041,CUS-02888,2025-01-09,refund_delay,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Refund diproses,critical
CMP00042,CUS-00091,2025-02-07,refund_delay,"Ada order yang bukan dari saya di akun ini, tolong cek!",closed,Sudah diganti,high
CMP00043,CUS-09651,2025-03-05,billing_error,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Menunggu respon seller,critical
CMP00044,CUS-06614,2025-01-11,promo_issue,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,closed,Escalated,critical
CMP00045,CUS-10809,2025-03-20,billing_error,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Refund diproses,high
CMP00046,CUS-10591,2025-02-21,packaging,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Sudah diganti,high
CMP00047,CUS-03856,2025-03-04,billing_error,"Ada order yang bukan dari saya di akun ini, tolong cek!",in_progress,,high
CMP00048,CUS-04581,2025-04-17,promo_issue,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,closed,Refund diproses,high
CMP00049,CUS-06298,2025-02-14,customer_service,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Refund diproses,high
CMP00050,CUS-00801,2025-01-04,packaging,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,closed,Refund diproses,critical
CMP00051,CUS-10249,2025-06-14,product_quality,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,Sudah diganti,high
CMP00052,CUS-04478,2025-05-15,refund_delay,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,,high
CMP00053,CUS-06857,2025-02-22,billing_error,"Transaksi aneh muncul di bulan Maret, saya tidak pernah order ini.",closed,Menunggu respon seller,critical
CMP00054,CUS-01221,2025-04-12,app_bug,"Saya tidak pernah melakukan order #117354, tapi ada transaksi di rekening saya!",resolved,,critical
CMP00055,CUS-05410,2025-04-30,delivery_issue,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,in_progress,,critical
CMP00056,CUS-11274,2025-05-16,app_bug,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Sudah diganti,critical
CMP00057,CUS-11396,2025-04-11,delivery_issue,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,Escalated,high
CMP00058,CUS-00879,2025-06-17,packaging,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Refund diproses,critical
CMP00059,CUS-09243,2025-04-13,product_quality,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",closed,Sudah diganti,high
CMP00060,CUS-08108,2025-02-10,wrong_item,"Ada order yang bukan dari saya di akun ini, tolong cek!",closed,,critical
CMP00061,CUS-10278,2025-05-28,app_bug,"Transaksi aneh muncul di bulan April, saya tidak pernah order ini.",closed,Refund diproses,critical
CMP00062,CUS-03889,2025-01-04,product_quality,"Saya tidak pernah melakukan order #119230, tapi ada transaksi di rekening saya!",resolved,Menunggu respon seller,high
CMP00063,CUS-00450,2025-04-24,refund_delay,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,in_progress,,high
CMP00064,CUS-10289,2025-01-30,account_security,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,in_progress,,critical
CMP00065,CUS-02325,2025-06-25,refund_delay,"Saya tidak pernah melakukan order #6372, tapi ada transaksi di rekening saya!",closed,,critical
CMP00066,CUS-06863,2025-04-27,billing_error,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,,critical
CMP00067,CUS-09091,2025-06-29,billing_error,"Transaksi aneh muncul di bulan Maret, saya tidak pernah order ini.",resolved,,critical
CMP00068,CUS-00344,2025-04-03,wrong_item,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,closed,,high
CMP00069,CUS-00992,2025-05-23,promo_issue,"Ada order yang bukan dari saya di akun ini, tolong cek!",in_progress,,critical
CMP00070,CUS-11935,2025-06-11,billing_error,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Sudah diganti,high
CMP00071,CUS-11091,2025-06-03,refund_delay,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,,critical
CMP00072,CUS-05448,2025-05-16,wrong_item,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,in_progress,,critical
CMP00073,CUS-01759,2025-05-24,delivery_issue,"Ada order yang bukan dari saya di akun ini, tolong cek!",open,,high
CMP00074,CUS-05033,2025-03-01,app_bug,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Sudah diganti,critical
CMP00075,CUS-00085,2025-04-17,customer_service,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",resolved,Escalated,high
CMP00076,CUS-11883,2025-04-10,wrong_item,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,,high
CMP00077,CUS-07625,2025-02-23,customer_service,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,Escalated,critical
CMP00078,CUS-03807,2025-06-19,delivery_issue,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,closed,Refund diproses,critical
CMP00079,CUS-01279,2025-01-17,app_bug,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Escalated,critical
CMP00080,CUS-11181,2025-06-13,wrong_item,"Ada order yang bukan dari saya di akun ini, tolong cek!",open,,critical
CMP00081,CUS-05292,2025-04-09,refund_delay,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",closed,Sudah diganti,critical
CMP00082,CUS-09630,2025-01-05,delivery_issue,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,Menunggu respon seller,critical
CMP00083,CUS-11916,2025-06-16,promo_issue,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",closed,Sudah diganti,high
CMP00084,CUS-09956,2025-01-23,billing_error,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,Sudah diganti,high
CMP00085,CUS-05624,2025-04-24,account_security,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",in_progress,,critical
CMP00086,CUS-00879,2025-01-17,customer_service,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,in_progress,,high
CMP00087,CUS-07094,2025-05-20,account_security,"Transaksi aneh muncul di bulan Maret, saya tidak pernah order ini.",resolved,Sudah diganti,critical
CMP00088,CUS-07311,2025-02-12,promo_issue,"Ada order yang bukan dari saya di akun ini, tolong cek!",closed,Menunggu respon seller,critical
CMP00089,CUS-00523,2025-06-30,billing_error,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,Menunggu respon seller,critical
CMP00090,CUS-04660,2025-03-27,packaging,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Refund diproses,critical
CMP00091,CUS-09771,2025-02-02,wrong_item,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,in_progress,,high
CMP00092,CUS-04884,2025-01-31,packaging,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,,critical
CMP00093,CUS-01112,2025-06-01,account_security,"Transaksi aneh muncul di bulan Maret, saya tidak pernah order ini.",resolved,,critical
CMP00094,CUS-11504,2025-04-28,account_security,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,Sudah diganti,high
CMP00095,CUS-05166,2025-03-25,delivery_issue,"Saya tidak pernah melakukan order #6327, tapi ada transaksi di rekening saya!",in_progress,,high
CMP00096,CUS-07455,2025-06-23,wrong_item,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Escalated,high
CMP00097,CUS-00010,2025-03-20,wrong_item,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Refund diproses,critical
CMP00098,CUS-06133,2025-05-18,billing_error,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,open,,critical
CMP00099,CUS-08676,2025-01-18,app_bug,"Saya tidak pernah melakukan order #141680, tapi ada transaksi di rekening saya!",resolved,Escalated,critical
CMP00100,CUS-07627,2025-04-07,refund_delay,"Saya tidak pernah melakukan order #67918, tapi ada transaksi di rekening saya!",resolved,,high
CMP00101,CUS-01740,2025-06-28,customer_service,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,,high
CMP00102,CUS-02729,2025-04-20,customer_service,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Refund diproses,high
CMP00103,CUS-00344,2025-02-28,packaging,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,in_progress,,critical
CMP00104,CUS-03946,2025-02-26,refund_delay,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,,critical
CMP00105,CUS-00697,2025-04-07,wrong_item,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,open,,high
CMP00106,CUS-04407,2025-04-11,account_security,"Transaksi aneh muncul di bulan Maret, saya tidak pernah order ini.",resolved,Menunggu respon seller,critical
CMP00107,CUS-10221,2025-03-29,delivery_issue,"Saya tidak pernah melakukan order #71879, tapi ada transaksi di rekening saya!",closed,Escalated,critical
CMP00108,CUS-02634,2025-02-15,delivery_issue,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,,high
CMP00109,CUS-07593,2025-03-15,customer_service,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Escalated,high
CMP00110,CUS-07430,2025-06-23,billing_error,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,,high
CMP00111,CUS-04925,2025-06-13,packaging,"Saya tidak pernah melakukan order #199649, tapi ada transaksi di rekening saya!",closed,Escalated,critical
CMP00112,CUS-03436,2025-05-14,delivery_issue,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Sudah diganti,critical
CMP00113,CUS-03501,2025-02-12,app_bug,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,Sudah diganti,critical
CMP00114,CUS-02166,2025-03-07,app_bug,"Saya tidak pernah melakukan order #34371, tapi ada transaksi di rekening saya!",closed,,high
CMP00115,CUS-08756,2025-06-30,billing_error,"Saya tidak pernah melakukan order #119388, tapi ada transaksi di rekening saya!",resolved,Refund diproses,high
CMP00116,CUS-10127,2025-01-24,wrong_item,"Transaksi aneh muncul di bulan April, saya tidak pernah order ini.",closed,Refund diproses,high
CMP00117,CUS-08990,2025-06-29,delivery_issue,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,Menunggu respon seller,critical
CMP00118,CUS-06465,2025-03-14,wrong_item,"Ada order yang bukan dari saya di akun ini, tolong cek!",closed,Menunggu respon seller,critical
CMP00119,CUS-00430,2025-05-08,promo_issue,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Menunggu respon seller,critical
CMP00120,CUS-10399,2025-05-13,packaging,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,Refund diproses,high
CMP00121,CUS-07705,2025-02-27,product_quality,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,Sudah diganti,critical
CMP00122,CUS-04356,2025-02-15,customer_service,"Ada order yang bukan dari saya di akun ini, tolong cek!",open,,high
CMP00123,CUS-07471,2025-02-06,billing_error,"Transaksi aneh muncul di bulan Maret, saya tidak pernah order ini.",resolved,Escalated,high
CMP00124,CUS-03986,2025-06-06,refund_delay,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Refund diproses,critical
CMP00125,CUS-03094,2025-03-27,delivery_issue,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Refund diproses,critical
CMP00126,CUS-02773,2025-06-03,wrong_item,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Menunggu respon seller,critical
CMP00127,CUS-10992,2025-02-24,product_quality,"Transaksi aneh muncul di bulan April, saya tidak pernah order ini.",closed,Escalated,high
CMP00128,CUS-07184,2025-03-09,delivery_issue,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",resolved,Refund diproses,high
CMP00129,CUS-06613,2025-06-28,promo_issue,"Saya tidak pernah melakukan order #10494, tapi ada transaksi di rekening saya!",resolved,Escalated,critical
CMP00130,CUS-05566,2025-03-07,app_bug,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,,critical
CMP00131,CUS-00040,2025-06-01,refund_delay,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,closed,,critical
CMP00132,CUS-07282,2025-01-23,product_quality,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Refund diproses,critical
CMP00133,CUS-06958,2025-04-18,promo_issue,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,,critical
CMP00134,CUS-04038,2025-04-03,wrong_item,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",in_progress,,high
CMP00135,CUS-00602,2025-04-21,billing_error,"Saya tidak pernah melakukan order #122183, tapi ada transaksi di rekening saya!",in_progress,,high
CMP00136,CUS-06990,2025-02-18,product_quality,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Sudah diganti,high
CMP00137,CUS-09907,2025-01-13,product_quality,"Saya tidak pernah melakukan order #177625, tapi ada transaksi di rekening saya!",in_progress,,high
CMP00138,CUS-03641,2025-03-17,customer_service,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,open,,high
CMP00139,CUS-04302,2025-02-11,delivery_issue,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,open,,critical
CMP00140,CUS-04993,2025-03-15,wrong_item,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,closed,,high
CMP00141,CUS-08307,2025-03-01,app_bug,"Ada order yang bukan dari saya di akun ini, tolong cek!",closed,Sudah diganti,critical
CMP00142,CUS-01063,2025-02-19,promo_issue,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,in_progress,,high
CMP00143,CUS-05117,2025-02-05,customer_service,"Transaksi aneh muncul di bulan April, saya tidak pernah order ini.",resolved,Menunggu respon seller,critical
CMP00144,CUS-05700,2025-04-03,wrong_item,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Escalated,critical
CMP00145,CUS-03105,2025-05-29,packaging,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,Menunggu respon seller,critical
CMP00146,CUS-01019,2025-06-20,promo_issue,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Menunggu respon seller,high
CMP00147,CUS-01579,2025-03-04,account_security,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,Escalated,critical
CMP00148,CUS-08409,2025-05-25,packaging,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Escalated,critical
CMP00149,CUS-07804,2025-02-13,customer_service,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",resolved,,high
CMP00150,CUS-07613,2025-01-05,packaging,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,closed,Escalated,critical
CMP00151,CUS-00124,2025-02-06,app_bug,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,closed,,critical
CMP00152,CUS-04591,2025-04-23,promo_issue,"Saya tidak pernah melakukan order #79456, tapi ada transaksi di rekening saya!",resolved,Escalated,critical
CMP00153,CUS-10404,2025-03-30,customer_service,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",resolved,,high
CMP00154,CUS-05852,2025-05-11,billing_error,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,in_progress,,high
CMP00155,CUS-03352,2025-04-10,delivery_issue,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,closed,Menunggu respon seller,high
CMP00156,CUS-05641,2025-03-08,delivery_issue,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Menunggu respon seller,high
CMP00157,CUS-07992,2025-02-24,refund_delay,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,Refund diproses,critical
CMP00158,CUS-06011,2025-03-19,packaging,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,closed,,high
CMP00159,CUS-07369,2025-06-28,wrong_item,"Transaksi aneh muncul di bulan Maret, saya tidak pernah order ini.",in_progress,,high
CMP00160,CUS-10931,2025-05-19,wrong_item,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,closed,Sudah diganti,high
CMP00161,CUS-04252,2025-03-02,promo_issue,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,Menunggu respon seller,high
CMP00162,CUS-11340,2025-06-14,customer_service,"Ada order yang bukan dari saya di akun ini, tolong cek!",in_progress,,high
CMP00163,CUS-09655,2025-05-28,customer_service,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,in_progress,,critical
CMP00164,CUS-05267,2025-02-27,account_security,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,closed,Refund diproses,critical
CMP00165,CUS-10537,2025-06-11,packaging,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,closed,Menunggu respon seller,high
CMP00166,CUS-00416,2025-04-29,billing_error,"Saya tidak pernah melakukan order #88756, tapi ada transaksi di rekening saya!",open,,high
CMP00167,CUS-07880,2025-06-02,promo_issue,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,Escalated,high
CMP00168,CUS-06262,2025-03-26,delivery_issue,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",open,,critical
CMP00169,CUS-03962,2025-01-01,app_bug,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,closed,Refund diproses,high
CMP00170,CUS-01958,2025-03-22,account_security,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,closed,,critical
CMP00171,CUS-09295,2025-05-11,promo_issue,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,,high
CMP00172,CUS-09552,2025-03-08,customer_service,"Ada order yang bukan dari saya di akun ini, tolong cek!",closed,Escalated,high
CMP00173,CUS-05497,2025-05-28,promo_issue,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,in_progress,,critical
CMP00174,CUS-01341,2025-04-23,billing_error,"Transaksi aneh muncul di bulan Februari, saya tidak pernah order ini.",resolved,,critical
CMP00175,CUS-11191,2025-01-31,billing_error,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,,high
CMP00176,CUS-07291,2025-02-22,promo_issue,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Sudah diganti,critical
CMP00177,CUS-04246,2025-03-04,delivery_issue,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Refund diproses,critical
CMP00178,CUS-03097,2025-01-22,refund_delay,"Saya tidak pernah melakukan order #404, tapi ada transaksi di rekening saya!",closed,Refund diproses,high
CMP00179,CUS-03659,2025-04-11,account_security,"Saya tidak pernah melakukan order #166636, tapi ada transaksi di rekening saya!",resolved,Menunggu respon seller,high
CMP00180,CUS-03413,2025-02-18,delivery_issue,"Transaksi aneh muncul di bulan Maret, saya tidak pernah order ini.",resolved,Refund diproses,high
CMP00181,CUS-11800,2025-04-02,wrong_item,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Refund diproses,high
CMP00182,CUS-10935,2025-04-06,app_bug,"Ada order yang bukan dari saya di akun ini, tolong cek!",in_progress,,critical
CMP00183,CUS-03777,2025-06-10,promo_issue,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,,high
CMP00184,CUS-05319,2025-05-03,wrong_item,"Ada order yang bukan dari saya di akun ini, tolong cek!",open,,high
CMP00185,CUS-10287,2025-02-19,packaging,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,closed,Escalated,high
CMP00186,CUS-07900,2025-02-07,billing_error,"Transaksi aneh muncul di bulan April, saya tidak pernah order ini.",resolved,,high
CMP00187,CUS-09350,2025-03-26,product_quality,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Sudah diganti,critical
CMP00188,CUS-04719,2025-04-18,wrong_item,"Ada order yang bukan dari saya di akun ini, tolong cek!",in_progress,,high
CMP00189,CUS-08780,2025-06-01,app_bug,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,,high
CMP00190,CUS-08083,2025-04-30,packaging,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,closed,Refund diproses,high
CMP00191,CUS-00396,2025-05-12,account_security,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Escalated,high
CMP00192,CUS-07210,2025-03-17,billing_error,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,in_progress,,critical
CMP00193,CUS-02979,2025-04-11,packaging,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,,critical
CMP00194,CUS-11845,2025-04-09,billing_error,Ada review 5-star atas nama saya padahal saya tidak pernah review produk itu.,resolved,Escalated,high
CMP00195,CUS-01826,2025-01-30,refund_delay,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,Escalated,critical
CMP00196,CUS-03525,2025-05-17,account_security,Kok bisa ada pesanan yang saya tidak buat? Curiga ada yang hack akun saya.,resolved,Refund diproses,critical
CMP00197,CUS-06272,2025-04-21,billing_error,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Sudah diganti,high
CMP00198,CUS-00285,2025-03-15,delivery_issue,"Ada order yang bukan dari saya di akun ini, tolong cek!",open,,critical
CMP00199,CUS-04151,2025-06-07,app_bug,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,resolved,Menunggu respon seller,critical
CMP00200,CUS-10301,2025-01-23,account_security,Saya melihat ada promo FLASH50 yang dipakai berulang kali dari akun saya.,open,,critical
CMP00201,CUS-06428,2025-06-05,packaging,"Ada order yang bukan dari saya di akun ini, tolong cek!",resolved,Sudah diganti,high
